"Stars","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
1,563.703,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
1,572.183,3,3,1,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,3
1,563.703,4,4,3,4,17623,0,0,4,0,0,0,0,0,0,0,0,1,3,4,2,6
1,821.44,5,4,2,4,17623,0,0,4,0,0,0,1,0,0,0,0,0,6,6,0,6
1,571.141,3,3,1,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,3
1,564.662,6,4,3,4,17623,0,0,4,0,0,0,5,0,0,0,0,0,2,3,3,6
3,1236.315,6,5,4,5,17623,0,0,5,1,0,0,6,0,0,0,0,0,4,6,4,10
1,563.697,5,3,4,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
2,821.432,5,3,3,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,821.434,7,5,4,5,17623,0,0,5,0,0,0,6,0,0,0,0,0,8,9,1,10
2,195.555,3,3,3,3,17623,0,0,3,0,0,0,2,0,0,0,0,0,1,3,0,3
8,571.831,6,5,4,5,17623,0,0,5,1,0,0,6,0,0,0,0,0,3,5,5,10
2,569.097,5,4,3,4,17623,0,0,4,1,0,0,4,0,0,0,0,2,2,3,3,6
1,563.694,3,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3
1,821.429,5,3,2,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,821.427,5,3,2,3,17623,0,0,3,0,0,0,1,0,0,0,0,0,4,3,0,3
3,821.425,6,4,4,4,17623,0,0,4,0,0,0,3,0,0,0,0,0,5,4,2,6
4,821.425,6,3,4,3,17623,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3
1,201.662,3,3,2,2,27,16,5,3,0,0,0,1,0,0,0,0,0,2,3,0,3
1,201.662,4,3,3,2,27,16,5,3,0,0,0,1,0,0,0,0,0,2,3,0,3
