issue.id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,commenters.nonowners,comments.by.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct.edges,total.edges
114028,RESOLVED,Mikael Barbero,enhancement,4,Mikael Barbero,9626.9114,12,4,4,12,4,7,7,4,14,0,0,3,0,0,0,0,0,0,5,1,6
115674,RESOLVED,Judy N. Green,normal,3,Xavier M??haut,9948.7364,8,4,3,4,10,13,9,4,4,6,0,0,0,1,0,0,0,0,4,2,6
115778,RESOLVED,Alain Magloire,normal,3,Brent Nicolle,238.8692,8,3,2,5,692,358,266,3,2,0,9,0,0,0,0,0,0,0,3,0,3
115779,RESOLVED,Alain Magloire,major,5,Matt Seaborn,2122.7964,8,4,3,6,692,358,266,4,2,0,8,0,0,0,0,1,0,0,5,1,6
115822,RESOLVED,Bogdan Gheorghe,critical,6,kessel haus,886.3403,11,5,5,11,1520,606,598,5,15,0,4,0,0,0,0,0,0,0,10,0,10
115831,RESOLVED,None,normal,3,None,1372.5797,12,3,3,12,517,246,239,3,12,0,8,0,0,0,0,0,0,0,3,0,3
116062,RESOLVED,Andrew Niefer,normal,3,Bogdan Gheorghe,335.0989,5,3,2,3,761,660,644,3,6,0,0,0,0,0,0,0,0,0,3,0,3
116554,RESOLVED,Project Inbox,normal,3,Tom Ware,47.6539,9,3,3,9,564,0,0,3,0,0,7,0,0,0,0,1,0,0,2,1,3
116767,RESOLVED,Project Inbox,normal,3,None,1695.4147,10,6,6,10,1579,0,0,6,0,0,4,3,0,1,0,2,14,3,13,2,15
116789,RESOLVED,Blaise Doughan,normal,3,Rick Barkhouse,3862.4294,11,3,3,11,415,43,43,3,7,0,2,0,0,0,0,0,0,0,1,2,3
116830,RESOLVED,Project Inbox,normal,3,Edwin Tang,4704.7728,14,4,4,14,564,0,0,4,0,7,3,0,0,8,0,1,0,0,4,2,6
116949,RESOLVED,David Minsky,normal,3,David Minsky,1037.5608,7,4,3,4,125,38,14,4,0,2,4,0,1,2,0,0,0,0,3,3,6
115857,RESOLVED,Sean Evoy,critical,6,Sean Evoy,839.2281,5,3,2,2,183,52,47,3,1,0,2,0,0,0,0,0,0,0,0,3,3
116977,RESOLVED,None,normal,3,None,9571.4944,21,6,6,21,98,0,0,6,8,11,1,0,7,3,0,0,0,0,9,6,15
117044,RESOLVED,David Minsky,normal,3,David Minsky,2371.1589,15,5,4,11,125,38,14,5,1,12,4,0,0,0,0,0,0,0,5,5,10
117050,RESOLVED,Gordon Yorke,major,5,Ellen Kraffmiller,12955.0142,29,11,11,29,142,54,54,11,41,21,19,0,0,5,0,0,0,0,17,38,55
117062,RESOLVED,Guy Pelletier,enhancement,4,Gordon Yorke,8058.6267,47,6,6,47,297,372,360,6,0,0,6,26,0,9,4,8,53,13,13,2,15
117099,RESOLVED,Rick Barkhouse,enhancement,4,Rick Barkhouse,4676.1994,7,3,2,2,242,26,21,3,1,0,2,0,0,0,0,0,0,0,3,0,3
117153,RESOLVED,Project Inbox,normal,3,Sherry Hill,3661.5033,13,6,6,13,1579,0,0,6,5,0,23,0,0,1,0,6,0,0,13,2,15
117212,RESOLVED,Denise Smith,normal,3,David McCann,2229.7317,12,3,3,12,379,30,30,3,0,7,1,0,0,1,0,0,0,0,3,0,3
117217,RESOLVED,Denise Smith,normal,3,David McCann,2225.5022,12,3,3,12,379,30,30,3,0,7,1,0,0,1,0,0,0,0,3,0,3
117245,RESOLVED,Matt MacIvor,normal,3,Matt MacIvor,1722.5589,15,3,2,6,346,40,17,3,0,5,1,0,0,1,0,0,0,0,3,0,3
117247,RESOLVED,Leslie Davis,normal,3,Leslie Davis,1694.0272,7,3,3,7,67,11,4,3,0,0,1,2,0,0,0,0,1,0,3,0,3
117295,RESOLVED,Michael OBrien,normal,3,Michael OBrien,168.5167,17,3,3,17,190,202,202,3,0,0,0,0,0,6,0,1,0,0,2,1,3
117322,RESOLVED,Eric Gwin,normal,3,Mike Norman,5762.3497,16,4,4,16,189,45,45,4,7,5,0,0,0,2,0,3,0,0,5,1,6
117360,RESOLVED,David McCann,normal,3,David McCann,16124.395,12,3,2,4,420,57,45,3,2,0,0,0,0,2,0,1,0,0,3,0,3
117379,CLOSED,kyle chen,normal,3,kyle chen,15769.4525,14,3,2,9,6,25,8,3,8,2,2,0,0,2,0,0,0,0,3,0,3
117383,RESOLVED,kyle chen,normal,3,kyle chen,16224.0694,10,3,2,6,6,25,8,3,4,1,2,0,0,0,0,0,0,0,1,2,3
117399,RESOLVED,Andrei Ilitchev,normal,3,Andrei Ilitchev,14778.7356,9,3,3,9,68,50,50,3,2,0,0,0,0,2,0,2,0,0,3,0,3
