"issue.id","ElapsedTime","Interest","Contributors","ExternalContributors","CommunityInterest","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","TotalDistinctEdges","TotalEdges"
215215,2497.7939,9,3,3,9,4225,0,0,3,1,0,2,0,0,0,0,0,0,0,2,1,3
215345,34077.2831,28,12,12,28,4225,0,0,12,71,12,9,0,0,2,0,2,0,0,14,52,66
215374,454.625,7,3,3,7,4225,0,0,3,0,0,2,0,0,0,0,0,0,0,2,1,3
215425,16970.2903,11,3,3,11,4225,0,0,3,9,0,1,0,0,0,0,0,0,0,1,2,3
215437,1205.9483,19,4,4,19,28,19,13,4,0,0,17,1,0,0,0,2,2,0,4,2,6
215499,623.3308,15,3,3,15,4225,0,0,3,0,0,2,0,0,0,0,1,0,0,2,1,3
215505,48.5669,12,3,3,12,4225,0,0,3,0,0,5,0,0,5,0,8,0,0,3,0,3
215563,248.5106,15,4,4,15,4225,0,0,4,0,1,12,0,0,1,0,1,0,0,4,2,6
215631,17571.8928,37,17,17,37,4225,0,0,17,132,33,88,0,0,18,0,1,0,0,56,80,136
215740,2277.9589,33,4,4,33,4225,0,0,4,0,13,30,0,0,12,0,5,0,0,5,1,6
215812,27502.1014,18,8,8,18,4225,0,0,8,12,3,15,0,0,2,0,5,0,0,12,16,28
215836,15363.0481,10,5,5,10,4225,0,0,5,1,4,7,0,0,4,0,2,0,0,4,6,10
215967,31721.9619,14,4,4,14,4225,0,0,4,0,2,1,0,0,3,0,2,0,0,5,1,6
216050,20885.7842,22,15,15,22,4225,0,0,15,48,12,52,0,0,7,0,12,0,0,60,45,105
216056,43823.5847,17,5,5,17,4225,0,0,5,18,1,1,0,0,5,0,0,2,0,9,1,10
216087,24531.2381,13,4,4,13,4225,0,0,4,2,8,5,0,0,0,0,0,0,0,3,3,6
216109,13356.5889,15,6,6,15,4225,0,0,6,1,0,24,0,0,0,0,22,0,0,10,5,15
216110,1869.245,10,4,4,10,4225,0,0,4,0,0,0,0,0,13,0,4,0,0,5,1,6
216216,34983.5222,23,17,17,23,110,0,0,17,106,0,36,1,0,0,0,1,0,0,43,93,136
216321,26901.4222,14,7,7,14,4225,0,0,7,6,2,26,0,0,0,0,5,0,0,13,8,21
216416,22278.8219,19,8,8,19,110,0,0,8,10,6,32,1,0,12,0,5,0,0,9,19,28
216448,80.3228,10,3,3,10,4225,0,0,3,0,0,3,0,0,4,0,3,0,0,3,0,3
216505,34485.6856,14,6,6,14,242,149,149,6,12,1,9,0,0,0,0,0,0,0,9,6,15
216516,21.7383,14,3,3,14,4225,0,0,3,0,0,11,3,0,0,0,2,2,0,3,0,3
216579,1458.4978,13,4,4,13,4225,0,0,4,0,0,0,0,0,7,0,3,1,0,3,3,6
216612,10102.1178,14,5,5,14,4225,0,0,5,0,1,12,0,0,0,0,3,0,0,6,4,10
216741,14803.0928,12,5,5,12,4225,0,0,5,4,0,6,4,0,0,0,0,0,1,6,4,10
216758,70.9694,10,4,4,10,4225,0,0,4,0,0,8,1,0,0,0,1,1,0,3,3,6
216849,1440.505,15,3,3,15,4225,0,0,3,0,0,0,0,0,0,0,7,14,0,3,0,3
216864,4869.4258,19,4,4,19,4225,0,0,4,1,0,11,8,0,0,0,1,7,0,3,3,6
216866,4314.9689,17,4,4,17,4225,0,0,4,0,0,6,8,0,0,0,0,5,0,5,1,6
216945,5832.5172,20,7,7,20,4225,0,0,7,15,0,12,7,0,0,0,0,0,0,1,20,21
216994,49241.7214,20,7,7,20,4225,0,0,7,2,4,12,0,0,3,0,7,14,0,12,9,21
217070,14426.2219,13,8,8,13,4225,0,0,8,10,0,11,1,0,0,0,3,1,0,5,23,28
217200,665.8347,15,7,7,15,4225,0,0,7,6,0,10,18,0,0,0,1,3,0,8,13,21
217276,16861.4942,23,6,6,23,4225,0,0,6,6,6,16,5,0,5,0,2,0,0,10,5,15
217294,37227.5192,16,3,3,16,4225,0,0,3,0,0,1,9,0,0,0,0,9,0,3,0,3
217431,6408.5539,21,5,5,21,4225,0,0,5,3,0,6,16,0,0,0,0,1,0,5,5,10
217439,4053.3531,11,4,4,11,4225,0,0,4,0,0,7,3,0,0,0,1,4,0,5,1,6
217440,2818.8389,19,5,5,19,4225,0,0,5,1,0,11,14,0,0,0,1,8,0,7,3,10
217447,79.4681,12,5,5,12,4225,0,0,5,0,0,3,1,0,0,0,2,7,0,5,5,10
217505,406.9725,11,5,5,11,4225,0,0,5,1,0,7,5,0,0,0,1,2,0,7,3,10
217542,7792.0222,13,4,4,13,6700,0,0,4,0,0,1,11,0,0,0,0,2,1,4,2,6
217544,5589.2372,22,5,5,22,6700,0,0,5,2,0,2,28,0,0,0,0,2,11,6,4,10
217549,9568.3931,10,4,4,10,6700,0,0,4,3,6,0,3,0,0,0,0,0,0,4,2,6
217565,9454.725,8,3,3,8,6700,0,0,3,0,0,6,1,0,0,0,0,0,0,2,1,3
217567,10601.8444,28,3,3,28,6700,0,0,3,0,0,26,1,0,0,0,0,0,0,2,1,3
217570,14953.1647,13,4,4,13,6700,0,0,4,1,0,7,6,0,0,0,0,0,0,5,1,6
217574,15688.1972,28,4,4,28,6700,0,0,4,0,4,21,0,0,4,2,3,0,2,5,1,6
217576,16527.6594,18,4,4,18,275,159,159,4,0,3,5,0,0,11,2,5,2,0,5,1,6
217577,16801.9006,20,3,3,20,6700,0,0,3,7,7,10,0,0,6,0,0,2,0,3,0,3
217591,19728.0856,18,7,7,18,6700,0,0,7,20,21,6,2,3,4,3,0,2,0,19,2,21
217594,20054.7347,7,5,5,7,6700,0,0,5,8,0,0,0,0,0,0,0,1,0,7,3,10
217596,22097.0964,7,3,3,7,6700,0,0,3,1,4,0,0,0,0,0,0,1,1,3,0,3
217783,31619.7694,20,9,9,20,780,0,0,9,21,1,0,19,0,0,0,0,0,0,15,21,36
217814,11064.9214,18,7,7,18,6700,0,0,7,6,7,0,24,0,0,4,0,0,8,17,4,21
217836,25585.6072,17,9,9,17,780,0,0,9,26,3,0,16,0,0,0,0,0,0,25,11,36
217880,524.2592,12,4,4,12,468,183,183,4,0,0,0,0,0,2,0,8,1,0,3,3,6
217885,2202.8825,16,7,7,16,6700,0,0,7,3,11,2,11,0,0,8,0,0,1,11,10,21
217889,2589.7633,12,4,4,12,6700,0,0,4,0,3,0,7,0,0,8,0,0,1,6,0,6
218150,27719.1664,25,6,6,25,6700,0,0,6,1,0,4,4,0,0,0,3,22,0,4,11,15
218204,18.5436,7,3,3,7,6700,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,3
218225,23919.7056,13,7,7,13,780,0,0,7,7,2,5,13,0,0,0,0,7,0,13,8,21
218279,18847.93,11,5,5,11,6700,0,0,5,1,0,7,4,0,0,0,0,0,2,6,4,10
218293,1497.765,14,6,6,14,468,183,183,6,6,0,11,1,0,0,0,0,0,0,4,11,15
218498,3213.8439,16,3,3,16,468,183,183,3,0,0,0,0,0,0,0,0,11,1,3,0,3
218513,6620.1472,7,5,5,7,6700,0,0,5,0,0,1,0,0,1,3,1,6,0,6,4,10
218517,3340.8747,19,9,9,19,6700,0,0,9,21,5,17,22,0,0,1,0,4,0,24,12,36
218655,16125.0178,13,8,8,13,6700,0,0,8,6,7,0,11,0,0,2,0,0,1,21,7,28
218682,20409.0369,10,3,3,10,780,0,0,3,0,2,7,0,0,2,0,0,0,0,3,0,3
